,How confident are you in your understanding of Mathematics?  ,"How would you rate your performance in subjects related to Mathematics (e.g., Mathematics, Physics, Computer Science)?  ","How interested are you in pursuing a career in fields that require strong mathematical skills (e.g., Engineering, Data Science, Finance, Research)?  ",How important is a career that involves Mathematics for you?  , How do you rate your problem-solving skills in mathematical contexts?  ,Do you enjoy working on math-related projects or problems?  ,Do you prefer working in teams for solving math-related problems?  ,"How comfortable are you with using technology or software (e.g., Java, Python, C, etc) for solving mathematical problems?  ",Suggested Degree
183,Confident,Below Average,Very Interested,Somewhat Important,Below Average,No,It depends,Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
184,Confident,Below Average,Not Interested,Somewhat Important,Not Good,Sometimes,No,Neutral/Somewhat Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
185,Slightly Confident,Poor,Slightly Interested,Not Important,Below Average,Yes,Yes,Neutral/Somewhat Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
186,Confident,Poor,Neutral/Somewhat Interested,Somewhat Important,Below Average,Sometimes,Yes,Not Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
187,Slightly Confident,Poor,Very Interested,Somewhat Important,Below Average,Yes,It depends,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
188,Slightly Confident,Excellent,Very Interested,Not Important,Not Good,Sometimes,It depends,Not Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
189,Neutral/Somewhat Confident,Below Average,Interested,Not Important,Below Average,Sometimes,It depends,Neutral/Somewhat Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
190,Slightly Confident,Average,Neutral/Somewhat Interested,Not Important,Below Average,Sometimes,It depends,Not Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
191,Slightly Confident,Below Average,Neutral/Somewhat Interested,Somewhat Important,Below Average,Sometimes,It depends,Neutral/Somewhat Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
192,Slightly Confident,Good,Very Interested,Very Important,Not Good,Sometimes,No,Slightly Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
193,Not Confident,Average,Very Interested,Not Important,Below Average,Sometimes,It depends,Neutral/Somewhat Comfortable,"Consider exploring fields outside of mathematics, such as Humanities or Business"
194,Slightly Confident,Average,Slightly Interested,Very Important,Average,Yes,Yes,Neutral/Somewhat Comfortable,"Statistics, Mathematical Biology, Econometrics, or Operations Research"
196,Confident,Excellent,Interested,Very Important,Average,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
197,Confident,Average,Interested,Very Important,Good,Yes,Yes,Comfortable,"Pure Mathematics, Applied Mathematics, Data Science, Machine Learning, Actuarial Science, or Mathematical Modelling"
